,Area Name,Price,Yearly Change
0,Yonge-St-Clair,[1.2],[16.8]
1,York-University-Heights,[0.801],[6.1]
2,Lansing-Westgate,[1.1],[6.7]
3,Not-Available,[0.01],[0.01]
4,Stonegate-Queensway,[1.3],[3.1]
5,Tam-OShanter-Sullivan,[0.957],[11.5]
6,The-Beaches,[1.6],[11.3]
7,Thistletown-Beaumonde-Heights,[0.786],[5.4]
8,Thorncliffe-Park,[0.01],[0.01]
9,Danforth-East-York,[0.01],[0.01]
10,Humewood-Cedarvale,[1.7],[33.4]
11,Islington-City-Centre-West,[0.675],[3.9]
12,Danforth,[1.2],[0.2]
13,Rustic,[0.813],[18.2]
14,Scarborough-Village,[0.85],[4.6]
15,South-Parkdale,[1.0],[26.1]
16,South-Riverdale,[1.2],[13.5]
17,St-Andrew-Windfields,[2.6],[1.1]
18,Taylor-Massey,[0.01],[0.01]
19,Humber-Summit,[0.742],[12.6]
20,Humbermede,[1.0],[41.2]
21,Centennial-Scarborough,[0.807],[12.6]
22,Church-Yonge-Corridor,[0.652],[11.6]
23,Clairlea-Birchmount,[0.927],[4.6]
24,Cliffcrest,[0.819],[11.0]
25,Flemingdon-Park,[0.592],[18.6]
26,Corso-Italia-Davenport,[1.0],[0.6]
27,Ionview,[0.612],[1.3]
28,Junction-Area,[0.933],[10.6]
29,Broadview-North,[1.0],[29.4]
30,Princess-Rosethorn,[2.1],[8.2]
31,North-Riverdale,[1.4],[12.5]
32,Etobicoke-West-Mall,[0.607],[11.0]
33,Forest-Hill-North,[2.4],[19.8]
34,Glenfield-Jane-Heights,[0.646],[5.7]
35,Greenwood-Coxwell,[1.0],[9.6]
36,Guildwood,[0.824],[31.1]
37,Trinity-Bellwoods,[1.6],[14.4]
38,Victoria-Village,[0.717],[1.4]
39,waterfront-communities-c8West-Hill,[0.01],[0.01]
40,west-hill,[0.788],[32.3]
41,West-Humber-Clairville,[0.643],[12.6]
42,Westminster-Branson,[0.781],[6.1]
43,Kennedy-Park,[0.543],[9.7]
44,Kingsview-Village-The-Westway,[0.748],[40.1]
45,Bayview-Woods-Steeles,[0.97],[10.7]
46,Clanton-Park,[0.935],[4.3]
47,Keelesdale-Eglinton-West,[0.7],[2.0]
48,OConnor-Parkview,[1.2],[14.2]
49,east-york,[1.2],[18.6]
50,Casa-Loma,[1.7],[7.7]
51,Kensington-Chinatown,[0.89],[6.1]
52,Kingsway-South,[1.7],[4.2]
53,Runnymede-Bloor-West-Village,[1.3],[1.5]
54,Forest-Hill-South,[2.3],[15.9]
55,Henry-Farm,[0.605],[10.8]
56,Annex,[1.8],[5.8]
57,Caledonia-Fairbank,[0.91],[2.6]
58,Humber-Heights-Westmount,[0.01],[0.01]
59,Roncesvalles,[1.3],[6.8]
60,University,[0.792],[27.6]
61,Hillcrest-Village,[0.8],[13.3]
62,Mount-Dennis,[0.553],[22.3]
63,Dorset-Park,[0.641],[22.2]
64,Edenbridge-Humber-Valley,[1.4],[27.8]
65,Dovercourt-Wallace-Emerson-Junction,[1.2],[11.3]
66,Newtonbrook-West,[1.1],[27.4]
67,Niagara,[0.732],[12.5]
68,Beechborough-Greenbrook,[0.945],[83.8]
69,High-Park-North,[1.3],[17.4]
70,High-Park-Swansea,[0.949],[0.2]
71,Highland-Creek,[1.1],[10.4]
72,North-St-James-Town,[0.776],[12.5]
73,Oakridge,[0.825],[26.3]
74,Rosedale-Moore-Park,[1.9],[8.5]
75,oakwood-vaughan,[0.982],[0.2]
76,Wexford-Maryvale,[0.902],[17.0]
77,Eglinton-East,[0.547],[9.1]
